Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","5000","World","5511","Production","2516","Oats","2017","2017","1000 tonnes","26158","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2517","Millet and products","2014","2014","1000 tonnes","28346","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2517","Millet and products","2015","2015","1000 tonnes","28119","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2517","Millet and products","2016","2016","1000 tonnes","27625","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","28452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2518","Sorghum and products","2014","2014","1000 tonnes","66982","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2518","Sorghum and products","2015","2015","1000 tonnes","64909","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2518","Sorghum and products","2016","2016","1000 tonnes","62741","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","56610","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2520","Cereals, Other","2014","2014","1000 tonnes","31373","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2520","Cereals, Other","2015","2015","1000 tonnes","32227","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2520","Cereals, Other","2016","2016","1000 tonnes","30798","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5000","World","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","32443","A","Aggregate, may include official, semi-official, estimated or calculated data"
